id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
1328,Roberto,Martin,roberto.martin.1328@gslingacademy.com,male,False,5,False,15,Unknown,69,81,83,68,76,90,95
1329,Jennifer,Johnson,jennifer.johnson.1329@gslingacademy.com,female,False,7,True,5,Business Owner,40,51,67,63,98,54,79
1330,Anthony,Shah,anthony.shah.1330@gslingacademy.com,male,True,10,False,3,Business Owner,42,92,60,54,68,69,76
1331,Aimee,Cook,aimee.cook.1331@gslingacademy.com,female,False,8,False,4,Business Owner,82,91,69,61,79,76,83
1332,Angela,Collins,angela.collins.1332@gslingacademy.com,female,False,1,True,29,Accountant,82,93,67,79,84,90,64
1333,John,Jensen,john.jensen.1333@gslingacademy.com,male,False,7,True,18,Unknown,76,80,93,74,73,63,81
1334,Julie,Gomez,julie.gomez.1334@gslingacademy.com,female,False,2,False,16,Teacher,80,62,66,88,75,98,68
1335,Bryan,Mitchell,bryan.mitchell.1335@gslingacademy.com,male,False,0,False,23,Software Engineer,87,90,92,62,96,77,80
1336,Katie,Clark,katie.clark.1336@gslingacademy.com,female,True,3,False,28,Software Engineer,91,98,60,88,63,78,95
1337,Kathleen,Simpson,kathleen.simpson.1337@gslingacademy.com,female,False,7,False,31,Lawyer,100,94,94,87,65,83,95
1338,Carolyn,Reyes,carolyn.reyes.1338@gslingacademy.com,female,False,9,False,5,Business Owner,56,60,88,96,57,68,76
1339,Derrick,Ortiz,derrick.ortiz.1339@gslingacademy.com,male,False,2,False,6,Stock Investor,84,86,96,95,75,61,99
1340,Calvin,Huynh,calvin.huynh.1340@gslingacademy.com,male,False,1,False,33,Lawyer,86,86,64,61,97,97,91
1341,Margaret,Wells,margaret.wells.1341@gslingacademy.com,female,False,7,False,0,Business Owner,79,67,72,50,75,95,62
1342,Heather,Fitzpatrick,heather.fitzpatrick.1342@gslingacademy.com,female,False,6,True,19,Software Engineer,99,78,61,64,75,66,76
1343,Kimberly,Wood,kimberly.wood.1343@gslingacademy.com,female,False,2,False,26,Accountant,95,79,95,62,69,82,94
1344,Gina,Kennedy,gina.kennedy.1344@gslingacademy.com,female,False,1,False,3,Artist,65,67,90,99,93,91,99
1345,Jeremy,Ward,jeremy.ward.1345@gslingacademy.com,male,False,2,False,10,Unknown,85,90,61,94,86,79,90
1346,Patricia,Rhodes,patricia.rhodes.1346@gslingacademy.com,female,False,5,False,24,Doctor,99,82,81,98,86,85,85
1347,Connie,Colon,connie.colon.1347@gslingacademy.com,female,False,5,False,1,Artist,88,62,65,98,92,64,82
1348,Pamela,Moyer,pamela.moyer.1348@gslingacademy.com,female,False,1,False,25,Software Engineer,100,87,88,100,89,98,71
1349,Rachel,Williams,rachel.williams.1349@gslingacademy.com,female,False,10,False,15,Unknown,62,63,94,74,75,86,100
1350,Sean,Malone,sean.malone.1350@gslingacademy.com,male,True,10,False,3,Business Owner,84,75,61,87,86,67,93
1351,Natalie,Fitzgerald,natalie.fitzgerald.1351@gslingacademy.com,female,False,3,True,14,Teacher,60,61,71,60,69,91,84
1352,Kevin,Diaz,kevin.diaz.1352@gslingacademy.com,male,False,9,False,31,Stock Investor,96,76,74,92,96,74,99
1353,Beth,Jones,beth.jones.1353@gslingacademy.com,female,False,2,True,9,Real Estate Developer,58,81,100,97,74,90,87
1354,Kathryn,Bates,kathryn.bates.1354@gslingacademy.com,female,False,1,False,8,Teacher,90,67,73,82,66,75,90
1355,Aaron,Mcdaniel,aaron.mcdaniel.1355@gslingacademy.com,male,False,2,False,22,Accountant,75,80,65,80,55,86,95
1356,Angela,King,angela.king.1356@gslingacademy.com,female,False,3,False,11,Banker,76,82,74,79,81,93,72
1357,Lauren,Arias,lauren.arias.1357@gslingacademy.com,female,True,10,False,2,Business Owner,81,100,64,61,91,76,93
1358,Alyssa,Miller,alyssa.miller.1358@gslingacademy.com,female,False,2,False,21,Unknown,73,98,72,100,77,62,69
1359,Lisa,Best,lisa.best.1359@gslingacademy.com,female,False,1,False,28,Unknown,60,64,84,64,66,96,99
1360,Nicole,Garcia,nicole.garcia.1360@gslingacademy.com,female,True,9,False,4,Business Owner,89,100,72,73,78,67,91
1361,William,Lee,william.lee.1361@gslingacademy.com,male,False,4,False,35,Software Engineer,91,98,93,93,88,96,97
1362,Christopher,Bowen,christopher.bowen.1362@gslingacademy.com,male,False,6,False,27,Doctor,85,72,80,85,94,96,87
1363,David,Bradford,david.bradford.1363@gslingacademy.com,male,False,0,True,14,Accountant,81,84,69,99,55,68,73
1364,Stephanie,Jordan,stephanie.jordan.1364@gslingacademy.com,female,False,10,False,1,Business Owner,67,63,65,95,52,84,77
1365,Joseph,Blake,joseph.blake.1365@gslingacademy.com,male,False,4,False,29,Doctor,86,71,86,93,99,92,77
1366,Christina,Velasquez,christina.velasquez.1366@gslingacademy.com,female,False,1,False,33,Lawyer,94,85,78,66,95,87,95
1367,Thomas,Calderon,thomas.calderon.1367@gslingacademy.com,male,False,1,False,18,Writer,83,96,72,81,86,93,75
1368,Jorge,Lee,jorge.lee.1368@gslingacademy.com,male,False,2,False,11,Unknown,98,77,91,88,87,76,68
1369,Jasmin,Phillips,jasmin.phillips.1369@gslingacademy.com,female,True,5,False,3,Business Owner,46,63,60,61,66,91,97
1370,Vincent,Wilson,vincent.wilson.1370@gslingacademy.com,male,False,2,False,19,Software Engineer,95,92,73,94,73,70,94
1371,Richard,Ryan,richard.ryan.1371@gslingacademy.com,male,False,1,False,31,Software Engineer,88,68,81,68,73,61,93
1372,Jesse,Garcia,jesse.garcia.1372@gslingacademy.com,male,False,5,True,28,Stock Investor,90,73,78,72,63,88,72
1373,James,Tate,james.tate.1373@gslingacademy.com,male,False,10,False,11,Construction Engineer,100,60,87,60,86,93,75
1374,Charles,May,charles.may.1374@gslingacademy.com,male,False,1,False,16,Designer,76,76,92,86,79,85,78
1375,Jeremiah,Lee,jeremiah.lee.1375@gslingacademy.com,male,False,3,False,4,Artist,73,73,81,78,82,85,66
1376,Debra,Reynolds,debra.reynolds.1376@gslingacademy.com,female,False,1,False,15,Banker,96,95,67,88,68,93,75
1377,Eric,Doyle,eric.doyle.1377@gslingacademy.com,male,False,4,False,31,Writer,85,87,99,65,66,95,77
1378,John,Perez,john.perez.1378@gslingacademy.com,male,False,4,False,29,Software Engineer,91,93,62,63,100,85,85
1379,Hector,Garcia,hector.garcia.1379@gslingacademy.com,male,False,5,False,27,Unknown,61,85,92,62,64,66,95
1380,Andres,Rodriguez,andres.rodriguez.1380@gslingacademy.com,male,False,1,False,29,Designer,79,69,78,78,99,61,87
1381,Shelley,Murphy,shelley.murphy.1381@gslingacademy.com,female,False,2,False,23,Software Engineer,99,75,79,87,63,90,90
1382,Robin,Carr,robin.carr.1382@gslingacademy.com,female,False,2,False,32,Scientist,81,64,81,92,87,84,95
1383,Julie,Lambert,julie.lambert.1383@gslingacademy.com,female,False,5,False,9,Teacher,91,87,71,98,93,83,81
1384,Cynthia,Rodriguez,cynthia.rodriguez.1384@gslingacademy.com,female,False,3,False,16,Software Engineer,91,84,95,97,88,70,77
1385,Thomas,Ball,thomas.ball.1385@gslingacademy.com,male,False,2,False,29,Software Engineer,100,79,77,61,79,70,69
1386,Patricia,Pope,patricia.pope.1386@gslingacademy.com,female,False,3,True,5,Artist,60,69,80,87,100,93,92
1387,Bryan,Pacheco,bryan.pacheco.1387@gslingacademy.com,male,False,3,False,14,Software Engineer,90,95,68,75,71,68,95
1388,Steven,Richardson,steven.richardson.1388@gslingacademy.com,male,False,2,False,20,Banker,94,88,78,99,65,76,68
1389,Deborah,Hood,deborah.hood.1389@gslingacademy.com,female,False,2,False,28,Software Engineer,90,79,64,93,81,63,76
1390,Laura,Campbell,laura.campbell.1390@gslingacademy.com,female,True,2,False,13,Banker,78,89,83,80,67,90,93
1391,Bradley,Patel,bradley.patel.1391@gslingacademy.com,male,True,9,True,3,Business Owner,40,73,88,95,64,61,92
1392,Angela,Moran,angela.moran.1392@gslingacademy.com,female,False,5,False,26,Banker,97,84,70,90,97,95,87
1393,Samuel,Lee,samuel.lee.1393@gslingacademy.com,male,True,3,False,8,Stock Investor,84,98,71,62,89,86,67
1394,Catherine,Miles,catherine.miles.1394@gslingacademy.com,female,False,3,False,4,Business Owner,64,66,56,59,68,68,84
1395,Joseph,Erickson,joseph.erickson.1395@gslingacademy.com,male,False,4,True,20,Software Engineer,89,88,86,77,87,88,78
1396,Bradley,Cook,bradley.cook.1396@gslingacademy.com,male,False,3,False,34,Construction Engineer,99,93,98,74,87,88,78
1397,Tony,Montgomery,tony.montgomery.1397@gslingacademy.com,male,False,2,False,42,Doctor,85,96,98,85,95,96,97
1398,Drew,Williams,drew.williams.1398@gslingacademy.com,male,False,6,False,4,Game Developer,89,78,89,91,76,96,81
1399,Gwendolyn,Martinez,gwendolyn.martinez.1399@gslingacademy.com,female,False,6,True,14,Software Engineer,97,92,64,93,60,63,90
1400,Nathan,Calhoun,nathan.calhoun.1400@gslingacademy.com,male,False,1,False,29,Construction Engineer,86,100,86,96,73,60,77
1401,Krista,Myers,krista.myers.1401@gslingacademy.com,female,False,3,False,34,Lawyer,72,86,69,81,67,98,72
1402,Jeremy,Bailey,jeremy.bailey.1402@gslingacademy.com,male,False,3,False,1,Artist,63,78,97,67,72,64,67
1403,Nicholas,Lester,nicholas.lester.1403@gslingacademy.com,male,False,5,False,27,Software Engineer,99,78,92,65,90,96,96
1404,Jennifer,Ford,jennifer.ford.1404@gslingacademy.com,female,False,4,False,30,Banker,81,85,64,61,86,80,83
1405,Connor,Mitchell,connor.mitchell.1405@gslingacademy.com,male,False,10,False,33,Lawyer,72,80,84,91,96,93,74
1406,Christine,Nelson,christine.nelson.1406@gslingacademy.com,female,False,1,False,15,Teacher,94,98,65,98,78,96,86
1407,Rebecca,Spencer,rebecca.spencer.1407@gslingacademy.com,female,False,2,False,5,Real Estate Developer,58,71,73,65,63,85,64
1408,Kyle,Rojas,kyle.rojas.1408@gslingacademy.com,male,False,3,False,29,Unknown,61,86,78,80,94,60,88
1409,Stacy,Sanders,stacy.sanders.1409@gslingacademy.com,female,True,1,False,28,Doctor,89,76,100,100,99,68,79
1410,Taylor,Waters,taylor.waters.1410@gslingacademy.com,female,True,9,False,1,Business Owner,96,58,65,62,76,93,77
1411,Julie,Nichols,julie.nichols.1411@gslingacademy.com,female,False,2,False,22,Doctor,96,73,80,99,91,82,91
1412,John,Lin,john.lin.1412@gslingacademy.com,male,False,6,False,21,Unknown,60,88,75,86,72,80,69
1413,William,Ryan,william.ryan.1413@gslingacademy.com,male,False,2,False,34,Software Engineer,93,65,81,94,92,60,100
1414,Joseph,Phillips,joseph.phillips.1414@gslingacademy.com,male,False,3,False,33,Stock Investor,93,63,69,97,64,82,83
1415,Christina,Ramirez,christina.ramirez.1415@gslingacademy.com,female,False,10,True,3,Business Owner,58,65,72,98,56,59,81
1416,Laura,Baxter,laura.baxter.1416@gslingacademy.com,female,True,1,False,0,Business Owner,73,85,84,88,78,87,76
1417,Kevin,Jackson,kevin.jackson.1417@gslingacademy.com,male,False,9,False,3,Business Owner,93,51,58,70,63,64,89
1418,Kayla,Schwartz,kayla.schwartz.1418@gslingacademy.com,female,False,0,False,20,Accountant,92,66,77,96,92,62,90
1419,Jason,Myers,jason.myers.1419@gslingacademy.com,male,False,1,False,18,Software Engineer,99,99,69,92,95,79,81
1420,Mary,Arnold,mary.arnold.1420@gslingacademy.com,female,False,1,False,35,Designer,99,96,99,91,94,92,99
1421,Suzanne,Owens,suzanne.owens.1421@gslingacademy.com,female,False,2,False,3,Business Owner,73,70,80,74,71,90,80
1422,Misty,Stewart,misty.stewart.1422@gslingacademy.com,female,False,1,False,27,Unknown,87,91,92,66,62,89,76
1423,Paul,Johnson,paul.johnson.1423@gslingacademy.com,male,False,4,False,32,Doctor,86,78,81,87,99,71,97
1424,Jordan,Rocha,jordan.rocha.1424@gslingacademy.com,male,False,1,False,30,Software Engineer,89,93,71,84,63,61,76
1425,Roger,Dixon,roger.dixon.1425@gslingacademy.com,male,False,7,False,3,Game Developer,96,64,85,86,93,92,65
1426,Patricia,Garrison,patricia.garrison.1426@gslingacademy.com,female,False,2,True,19,Software Engineer,90,73,71,68,74,87,66
1427,Amanda,Davis,amanda.davis.1427@gslingacademy.com,female,False,2,False,9,Teacher,98,65,66,87,78,84,91
1428,Michael,Ferguson,michael.ferguson.1428@gslingacademy.com,male,False,3,False,26,Lawyer,85,87,85,69,80,99,93
1429,Melissa,Robinson,melissa.robinson.1429@gslingacademy.com,female,False,1,False,28,Software Engineer,85,96,100,75,63,87,89
1430,Kathryn,Rivera,kathryn.rivera.1430@gslingacademy.com,female,True,1,False,35,Banker,89,94,92,98,92,92,99
1431,Javier,Macdonald,javier.macdonald.1431@gslingacademy.com,male,False,4,False,32,Banker,93,97,93,66,83,88,79
1432,Angela,Elliott,angela.elliott.1432@gslingacademy.com,female,True,2,False,35,Software Engineer,96,91,95,88,89,85,92
1433,Christine,Collins,christine.collins.1433@gslingacademy.com,female,False,3,False,26,Designer,84,64,98,100,89,79,96
1434,Calvin,Taylor,calvin.taylor.1434@gslingacademy.com,male,False,3,False,14,Banker,76,97,99,83,74,94,99
1435,Jennifer,Contreras,jennifer.contreras.1435@gslingacademy.com,female,False,4,False,26,Banker,80,78,71,69,76,97,77
1436,Jennifer,Mccoy,jennifer.mccoy.1436@gslingacademy.com,female,False,5,True,3,Real Estate Developer,63,77,89,79,79,60,81
1437,Daniel,Thomas,daniel.thomas.1437@gslingacademy.com,male,False,1,False,33,Construction Engineer,90,86,100,90,76,66,83
1438,Brian,Hess,brian.hess.1438@gslingacademy.com,male,False,1,False,35,Banker,85,93,85,91,86,94,89
1439,Jessica,Mathews,jessica.mathews.1439@gslingacademy.com,female,False,1,False,22,Unknown,78,81,94,64,61,91,88
1440,Kathryn,Sanchez,kathryn.sanchez.1440@gslingacademy.com,female,False,2,False,23,Designer,74,90,90,80,91,92,100
1441,Jeremy,Cook,jeremy.cook.1441@gslingacademy.com,male,False,2,True,27,Lawyer,83,89,95,70,95,80,70
1442,Michael,Anderson,michael.anderson.1442@gslingacademy.com,male,False,6,False,31,Software Engineer,87,96,79,79,74,86,85
1443,Olivia,Garza,olivia.garza.1443@gslingacademy.com,female,False,1,False,26,Banker,90,77,84,70,77,86,70
1444,Emily,Mason,emily.mason.1444@gslingacademy.com,female,False,4,False,1,Real Estate Developer,73,71,95,63,62,85,99
1445,Jennifer,Gonzales,jennifer.gonzales.1445@gslingacademy.com,female,False,2,False,7,Teacher,79,78,100,90,89,80,68
1446,Samantha,Rodriguez,samantha.rodriguez.1446@gslingacademy.com,female,False,1,True,4,Real Estate Developer,62,84,74,74,66,61,90
1447,Anthony,Adams,anthony.adams.1447@gslingacademy.com,male,False,0,False,31,Software Engineer,87,78,96,84,97,89,82
1448,Ronald,Diaz,ronald.diaz.1448@gslingacademy.com,male,False,7,True,23,Accountant,81,83,79,94,37,84,71
1449,Dana,Lambert,dana.lambert.1449@gslingacademy.com,female,False,4,False,5,Unknown,83,66,94,75,72,78,74
1450,Jonathan,Mckay,jonathan.mckay.1450@gslingacademy.com,male,False,10,False,1,Business Owner,90,50,84,90,83,62,100
1451,Thomas,Odom,thomas.odom.1451@gslingacademy.com,male,False,3,False,4,Artist,75,69,97,98,60,60,85
1452,John,Wells,john.wells.1452@gslingacademy.com,male,False,0,True,23,Construction Engineer,94,61,81,64,75,72,61
1453,Richard,Castillo,richard.castillo.1453@gslingacademy.com,male,False,3,False,15,Government Officer,91,68,62,82,70,92,73
1454,Peter,Peck,peter.peck.1454@gslingacademy.com,male,False,2,False,24,Lawyer,96,88,68,95,67,95,75
1455,Chris,Greene,chris.greene.1455@gslingacademy.com,male,False,2,False,31,Software Engineer,85,76,82,85,73,60,90
1456,Michael,Vance,michael.vance.1456@gslingacademy.com,male,False,4,False,29,Lawyer,71,93,90,89,69,94,79
1457,Joanne,Howard,joanne.howard.1457@gslingacademy.com,female,False,3,False,49,Doctor,98,90,87,92,92,99,98
1458,James,Clarke,james.clarke.1458@gslingacademy.com,male,False,4,False,6,Unknown,66,97,82,70,93,68,98
1459,Michael,Smith,michael.smith.1459@gslingacademy.com,male,False,7,True,33,Accountant,99,82,69,84,79,88,67
1460,Nicole,King,nicole.king.1460@gslingacademy.com,female,True,5,True,10,Designer,71,70,87,62,92,63,80
1461,Ruth,Miller,ruth.miller.1461@gslingacademy.com,female,False,1,False,13,Government Officer,74,76,81,69,98,96,65
1462,Katelyn,Roman,katelyn.roman.1462@gslingacademy.com,female,False,6,True,25,Banker,93,60,71,63,75,76,77
1463,Allison,Hendricks,allison.hendricks.1463@gslingacademy.com,female,False,2,False,35,Lawyer,89,90,99,91,94,96,85
1464,Zachary,Lucero,zachary.lucero.1464@gslingacademy.com,male,True,8,True,1,Business Owner,66,53,85,84,98,86,79
1465,Gregory,Ryan,gregory.ryan.1465@gslingacademy.com,male,False,1,False,29,Stock Investor,80,96,79,95,74,95,61
1466,Jacob,Hall,jacob.hall.1466@gslingacademy.com,male,False,3,False,20,Software Engineer,97,93,67,85,90,72,96
1467,Mark,Wright,mark.wright.1467@gslingacademy.com,male,True,3,False,49,Doctor,87,86,87,91,86,96,92
1468,Jennifer,Wright,jennifer.wright.1468@gslingacademy.com,female,False,4,False,13,Teacher,77,87,83,81,60,92,76
1469,Kimberly,Dyer,kimberly.dyer.1469@gslingacademy.com,female,False,2,False,20,Unknown,99,93,90,79,93,71,84
1470,Nicole,Grant,nicole.grant.1470@gslingacademy.com,female,False,2,True,18,Teacher,89,75,65,100,74,71,75
1471,Peter,Anderson,peter.anderson.1471@gslingacademy.com,male,False,1,False,23,Software Engineer,86,79,69,60,76,76,92
1472,Christine,Hernandez,christine.hernandez.1472@gslingacademy.com,female,False,0,False,10,Real Estate Developer,82,86,91,68,80,62,81
1473,Christine,Smith,christine.smith.1473@gslingacademy.com,female,False,4,True,4,Artist,79,100,75,85,100,81,64
1474,Mark,Robinson,mark.robinson.1474@gslingacademy.com,male,False,1,False,11,Construction Engineer,89,70,92,100,100,95,65
1475,Joan,Estrada,joan.estrada.1475@gslingacademy.com,female,False,3,False,15,Teacher,77,73,67,67,88,89,99
1476,Shelby,Lewis,shelby.lewis.1476@gslingacademy.com,female,False,1,True,16,Banker,95,79,85,73,74,86,68
1477,Joshua,Williams,joshua.williams.1477@gslingacademy.com,male,False,10,True,5,Business Owner,63,54,57,51,63,88,83
1478,Cynthia,Martinez,cynthia.martinez.1478@gslingacademy.com,female,False,1,True,26,Software Engineer,98,85,95,92,74,79,63
1479,Kevin,Holt,kevin.holt.1479@gslingacademy.com,male,False,2,False,29,Unknown,76,81,69,87,60,93,62
1480,Jessica,Nolan,jessica.nolan.1480@gslingacademy.com,female,False,10,False,3,Business Owner,40,81,54,70,53,98,61
1481,Timothy,Fowler,timothy.fowler.1481@gslingacademy.com,male,False,4,True,32,Software Engineer,89,84,84,100,77,62,69
1482,Samantha,Ibarra,samantha.ibarra.1482@gslingacademy.com,female,False,5,False,24,Doctor,86,75,97,93,88,74,97
1483,Michelle,Guerrero,michelle.guerrero.1483@gslingacademy.com,female,False,3,True,20,Software Engineer,99,77,60,99,100,83,72
1484,Stephanie,Pineda,stephanie.pineda.1484@gslingacademy.com,female,True,5,True,1,Business Owner,67,61,61,82,69,87,97
1485,Philip,Blair,philip.blair.1485@gslingacademy.com,male,False,9,False,0,Business Owner,43,87,81,61,65,53,84
1486,David,Jimenez,david.jimenez.1486@gslingacademy.com,male,False,8,True,5,Business Owner,40,97,92,93,92,65,82
1487,Megan,Bright,megan.bright.1487@gslingacademy.com,female,False,2,False,5,Business Owner,65,93,67,73,57,72,97
1488,Thomas,Montoya,thomas.montoya.1488@gslingacademy.com,male,False,6,False,1,Business Owner,96,92,64,54,87,60,88
1489,Brenda,Houston,brenda.houston.1489@gslingacademy.com,female,False,1,True,27,Software Engineer,96,92,80,61,66,98,70
1490,Daniel,Lee,daniel.lee.1490@gslingacademy.com,male,True,1,False,29,Lawyer,90,84,90,81,92,83,69
1491,Stephanie,Jones,stephanie.jones.1491@gslingacademy.com,female,True,9,False,4,Business Owner,85,57,77,81,65,75,85
1492,Rachel,Salas,rachel.salas.1492@gslingacademy.com,female,True,8,True,4,Business Owner,92,96,80,98,61,84,74
1493,Oscar,Benjamin,oscar.benjamin.1493@gslingacademy.com,male,False,3,False,21,Doctor,100,82,84,100,90,62,87
1494,Debra,Brown,debra.brown.1494@gslingacademy.com,female,False,3,False,31,Stock Investor,94,63,98,73,63,98,100
1495,Jennifer,Martin,jennifer.martin.1495@gslingacademy.com,female,False,3,False,15,Banker,85,76,94,89,85,83,80
1496,Jeffrey,Conley,jeffrey.conley.1496@gslingacademy.com,male,False,0,False,30,Lawyer,80,84,82,69,91,80,96
1497,Cory,Cook,cory.cook.1497@gslingacademy.com,male,False,1,False,31,Software Engineer,99,61,91,73,89,62,82
1498,David,Walters,david.walters.1498@gslingacademy.com,male,False,7,False,23,Writer,70,91,81,61,64,93,96
1499,Jeffrey,Moore,jeffrey.moore.1499@gslingacademy.com,male,False,1,False,23,Designer,62,72,78,96,70,74,72
1500,Stacey,Williams,stacey.williams.1500@gslingacademy.com,female,True,0,False,27,Software Engineer,94,97,73,79,84,66,64
1501,Beth,Stephens,beth.stephens.1501@gslingacademy.com,female,False,3,True,5,Real Estate Developer,79,93,100,83,78,80,87
1502,Lisa,Franco,lisa.franco.1502@gslingacademy.com,female,True,10,False,4,Business Owner,47,75,53,60,90,59,86
1503,Sarah,Snow,sarah.snow.1503@gslingacademy.com,female,False,9,False,21,Banker,100,73,70,71,73,96,67
1504,Frederick,Lopez,frederick.lopez.1504@gslingacademy.com,male,False,5,False,26,Banker,90,69,75,98,70,75,80
1505,Cynthia,White,cynthia.white.1505@gslingacademy.com,female,False,2,False,13,Teacher,63,94,65,98,69,90,85
1506,Samantha,Hopkins,samantha.hopkins.1506@gslingacademy.com,female,False,7,False,10,Unknown,78,76,93,88,83,99,98
1507,Destiny,Rhodes,destiny.rhodes.1507@gslingacademy.com,female,False,4,False,25,Software Engineer,95,94,69,73,71,93,71
1508,Jessica,Jones,jessica.jones.1508@gslingacademy.com,female,False,4,False,13,Unknown,88,92,66,100,98,99,70
1509,Mark,Smith,mark.smith.1509@gslingacademy.com,male,False,2,False,29,Construction Engineer,87,86,95,92,91,79,64
1510,Maureen,Cain,maureen.cain.1510@gslingacademy.com,female,False,4,False,1,Real Estate Developer,89,100,81,62,75,68,71
1511,Jennifer,Fuentes,jennifer.fuentes.1511@gslingacademy.com,female,True,2,False,11,Stock Investor,89,65,82,77,90,76,84
1512,Jennifer,Arnold,jennifer.arnold.1512@gslingacademy.com,female,False,1,False,26,Lawyer,90,100,89,69,100,95,94
1513,Laura,Smith,laura.smith.1513@gslingacademy.com,female,False,0,False,12,Teacher,99,75,71,90,92,78,69
1514,David,Shaw,david.shaw.1514@gslingacademy.com,male,True,0,False,32,Software Engineer,91,75,77,95,80,95,88
1515,Diana,Russo,diana.russo.1515@gslingacademy.com,female,False,5,False,28,Accountant,75,99,60,90,51,77,84
1516,Hayley,Johnson,hayley.johnson.1516@gslingacademy.com,female,False,1,False,34,Unknown,60,93,99,81,96,92,80
1517,Melissa,Jackson,melissa.jackson.1517@gslingacademy.com,female,False,6,False,17,Software Engineer,90,64,79,66,96,61,81
1518,Kimberly,Miller,kimberly.miller.1518@gslingacademy.com,female,False,2,False,31,Software Engineer,93,74,80,79,70,66,91
1519,Andrew,Stanley,andrew.stanley.1519@gslingacademy.com,male,False,2,True,25,Accountant,93,74,96,69,71,82,76
1520,Mary,Taylor,mary.taylor.1520@gslingacademy.com,female,False,7,False,14,Software Engineer,92,74,90,87,89,94,87
1521,Mindy,Jones,mindy.jones.1521@gslingacademy.com,female,False,2,False,2,Game Developer,86,60,91,82,73,77,64
1522,John,Powell,john.powell.1522@gslingacademy.com,male,True,10,False,5,Business Owner,64,69,85,99,76,98,60
1523,Amanda,Padilla,amanda.padilla.1523@gslingacademy.com,female,False,2,False,2,Artist,91,87,84,91,96,88,82
1524,Kevin,Koch,kevin.koch.1524@gslingacademy.com,male,False,3,False,33,Scientist,76,66,96,86,85,62,68
1525,Chad,Moreno,chad.moreno.1525@gslingacademy.com,male,False,6,False,33,Unknown,72,67,65,76,69,81,70
1526,Stephanie,Spencer,stephanie.spencer.1526@gslingacademy.com,female,False,1,False,5,Artist,63,86,72,72,90,75,92
1527,Peter,Vargas,peter.vargas.1527@gslingacademy.com,male,True,3,False,23,Software Engineer,94,61,72,70,87,82,76
1528,Kayla,Bailey,kayla.bailey.1528@gslingacademy.com,female,False,10,False,2,Business Owner,70,75,59,91,53,97,95
1529,Stephanie,Jones,stephanie.jones.1529@gslingacademy.com,female,False,3,False,23,Banker,83,69,66,95,93,77,77
1530,Nancy,Hartman,nancy.hartman.1530@gslingacademy.com,female,False,6,False,3,Business Owner,50,61,50,96,70,58,86
1531,Eduardo,Brown,eduardo.brown.1531@gslingacademy.com,male,False,0,False,48,Doctor,99,89,96,98,89,98,93
1532,Thomas,Stone,thomas.stone.1532@gslingacademy.com,male,False,3,False,32,Banker,76,85,62,65,79,81,61
1533,Craig,Carter,craig.carter.1533@gslingacademy.com,male,True,4,True,3,Business Owner,71,66,52,99,87,89,70
1534,Michael,Harrington,michael.harrington.1534@gslingacademy.com,male,False,1,False,24,Unknown,60,78,96,93,62,60,83
1535,Valerie,Nichols,valerie.nichols.1535@gslingacademy.com,female,False,4,False,21,Software Engineer,87,74,81,65,74,91,82
1536,Brian,Garcia,brian.garcia.1536@gslingacademy.com,male,False,10,False,0,Business Owner,93,84,65,56,67,92,81
1537,Renee,Smith,renee.smith.1537@gslingacademy.com,female,False,0,False,25,Lawyer,87,87,69,71,74,91,74
1538,Kaitlyn,Frazier,kaitlyn.frazier.1538@gslingacademy.com,female,False,3,False,10,Government Officer,93,68,61,78,80,65,77
1539,Jesse,Green,jesse.green.1539@gslingacademy.com,male,False,1,False,4,Game Developer,96,64,91,69,60,62,62
1540,Kimberly,Cooper,kimberly.cooper.1540@gslingacademy.com,female,False,2,False,7,Unknown,62,73,74,72,83,63,79
1541,Matthew,Chambers,matthew.chambers.1541@gslingacademy.com,male,True,8,False,0,Business Owner,50,80,100,81,61,68,72
1542,Stephanie,Yu,stephanie.yu.1542@gslingacademy.com,female,False,4,False,2,Unknown,71,68,77,73,68,73,64
1543,Jose,Hodge,jose.hodge.1543@gslingacademy.com,male,False,0,True,16,Construction Engineer,99,88,88,90,82,88,90
1544,Steve,Kelly,steve.kelly.1544@gslingacademy.com,male,False,4,False,12,Stock Investor,100,67,100,60,94,72,70
1545,Justin,Morgan,justin.morgan.1545@gslingacademy.com,male,True,9,False,4,Business Owner,77,59,60,98,74,76,60
1546,Robert,Black,robert.black.1546@gslingacademy.com,male,False,3,True,23,Software Engineer,88,73,86,75,65,62,83
1547,Gabriella,Pierce,gabriella.pierce.1547@gslingacademy.com,female,False,6,False,15,Accountant,88,99,64,79,52,75,92
1548,William,Clay,william.clay.1548@gslingacademy.com,male,False,2,False,31,Stock Investor,99,88,97,97,71,67,79
1549,Nicholas,Shea,nicholas.shea.1549@gslingacademy.com,male,True,8,False,3,Business Owner,50,88,58,78,83,97,88
1550,Heidi,Ellis,heidi.ellis.1550@gslingacademy.com,female,False,4,False,2,Unknown,69,93,62,99,98,98,68
1551,Cassandra,Mills,cassandra.mills.1551@gslingacademy.com,female,False,5,False,35,Banker,89,86,96,92,97,89,95
1552,Robert,Hart,robert.hart.1552@gslingacademy.com,male,False,5,False,27,Designer,93,97,77,70,81,83,87
